,text
740,For I am brimfull of the friendliness
741,That in a little cottage I have found;
742,"Of fair-hair’d Milton’s eloquent distress,"
743,And all his love for gentle Lycid drown’d;
744,"Of lovely Laura in her light green dress,"
745,"And faithful Petrarch gloriously crown’d.,"
746,",,"
747,",O Solitude! if I must with thee dwell,"
748,Let it not be among the jumbled heap
749,"Of murky buildings; climb with me the steep,"
750,"Nature’s observatorywhence the dell,"
751,"Its flowery slopes, its river’s crystal swell,"
752,May seem a span; let me thy vigils keep
753,"’Mongst boughs pavillion’d, where the deer’s swift leap"
754,Startles the wild bee from the fox-glove bell.
755,"But though I’ll gladly trace these scenes with thee,"
756,"Yet the sweet converse of an innocent mind,"
757,"Whose words are images of thoughts refin’d,"
758,Is my soul’s pleasure; and it sure must be
759,"Almost the highest bliss of human-kind,"
760,"When to thy haunts two kindred spirits flee.,"
761,"2,<strong><em><a class=spell href=https://www.google.com.ua/search?biw=242&amp;bih=545&amp;q=Short+analyze&amp;spell=&amp;sa=X&amp;ved=ahUKEwj2tIyr3oTLAhWG83IKHdfBCUkQvwUIFygA>Short <i>analyze</i></a>:</em></strong>,"
762,",,"
763,",Of late two dainties were before me plac’d"
764,"Sweet, holy, pure, sacred and innocent,"
765,From the ninth sphere to me benignly sent
766,That Gods might know my own particular taste.
767,"First the soft Bag-pipe mourn’d with zealous haste,"
768,The Stranger next with head on bosom bent
769,"Sigh’d; rueful again the piteous Bag-pipe went,"
770,Again the Stranger sighings fresh did waste.
771,O Bag-pipe thou didst steal my heart away–
772,O stranger thou my nerves from Pipe didst charm–
773,O Bag-pipe thou didst re-assert thy sway–
774,Again thou Stranger gav’st me fresh alarm–
775,"Alas! I could not choose. Ah! my poor heart,"
776,"Mum chance art thou with both oblig’d to part.,"
777,",,"
778,",Nature withheld Cassandra in the skies,"
779,"For more adornment, a full thousand years;"
780,"She took their cream of Beauty, fairest dyes,"
781,And shaped and tinted her above all peers:
782,"Meanwhile Love kept her dearly with his wings,"
783,And underneath their shadow filled her eyes
784,With such a richness that the cloudy Kings
785,Of high Olympus uttered slavish sighs.
786,"When from the Heavens I saw her first descend,"
787,"My heart took fire, and only burning pains…"
788,They were my pleasures  they my Life’s sad end;
789,"Love poured her beauty into my warm veins. …,"
790,",,"
791,",Fame, like a wayward girl, will still be coy"
792,"To those who woo her with too slavish knees,"
793,"But makes surrender to some thoughtless boy,"
794,And dotes the more upon a heart at ease;
795,"She is a Gipsey,will not speak to those"
796,Who have not learnt to be content without her;
797,"A Jilt, whose ear was never whisper’d close,"
798,Who thinks they scandal her who talk about her;
799,"A very Gipsey is she, Nilus-born,"
800,Sister-in-law to jealous Potiphar;
801,Ye love-sick Bards! repay her scorn for scorn;
802,Ye Artists lovelorn! madmen that ye are!
803,"Make your best bow to her and bid adieu,"
804,"Then, if she likes it, she will follow you.,"
805,",,"
806,",Much have I travell’d in the realms of gold,"
807,And many goodly states and kingdoms seen;
808,Round many western islands have I been
809,Which bards in fealty to Apollo hold.
810,Oft of one wide expanse had I been told
811,That deep-brow’d Homer ruled as his demesne;
812,Yet did I never breathe its pure serene
813,Till I heard Chapman speak out loud and bold:
814,Then felt I like some watcher of the skies
815,When a new planet swims into his ken;
816,Or like stout Cortez when with eagle eyes
817,He star’d at the Pacificand all his men
818,Look’d at each other with a wild surmise
819,"Silent, upon a peak in Darien.,"
820,",,"
821,",Oh! how I love, on a fair summer’s eve,"
822,"When streams of light pour down the golden west,"
823,And on the balmy zephyrs tranquil rest
824,"The silver clouds, far – far away to leave"
825,"All meaner thoughts, and take a sweet reprieve"
826,"Fromm little cares; to find, with easy quest,"
827,"A fragrant wild, with Nature’s beauty drest,"
828,And there into the delight my soul deceive.
829,"There warm my breast with patriotic lore,"
830,Musing on Milton’s fate – on Sydney’s bier –
831,Till their stern forms before my mind arise:
832,"Perhaps on wing of Poesy upsoar,"
833,"Full often dropping a delicious tear,"
834,"When some melodious sorrow spells mine eyes.,"
835,",,"
836,",<em>«You cannot eat your cake and have it too.» – Proverb.</em>,"
837,"2,How fever’d is the man, who cannot look"
838,"Upon his mortal days with temperate blood,"
839,"Who vexes all the leaves of his life’s book,"
840,And robs his fair name of its maidenhood;
841,"It is as if the rose should pluck herself,"
842,"On the ripe plum finger its misty bloom,"
843,"As if a Naiad, like a meddling elf,"
844,Should darken her pure grot with muddy gloom:
845,"But the rose leaves herself upon the briar,"
846,"For winds to kiss and grateful bees to feed,"
847,"And the ripe plum still wears its dim attire,"
848,The undisturbed lake has crystal space;
849,"Why then should man, teasing the world for grace,"
850,"Spoil his salvation for a fierce miscreed?,"
851,",,"
852,",Give me a golden pen, and let me lean"
853,"On heap’d up flowers, in regions clear, and far;"
854,"Bring me a tablet whiter than a star,"
855,"Or hand of hymning angel, when ’tis seen"
856,The silver strings of heavenly harp atween:
857,"And let there glide by many a pearly car,"
858,"Pink robes, and wavy hair, and diamond jar,"
859,"And half discovered wings, and glances keen."
860,"The while let music wander round my ears,"
861,"And as it reaches each delicious ending,"
862,"Let me write down a line of glorious tone,"
863,And full of many wonders of the spheres:
864,For what a height my spirit is contending!
865,"’Tis not content so soon to be alone.,"
866,",,"
867,",My spirit is too weakmortality"
868,"Weighs heavily on me like unwilling sleep,"
869,And each imagined pinnacle and steep
870,Of godlike hardship tells me I must die
871,Like a sick eagle looking at the sky.
872,Yet ’tis a gentle luxury to weep
873,That I have not the cloudy winds to keep
874,Fresh for the opening of the morning’s eye.
875,Such dim-conceived glories of the brain
876,Bring round the heart an undescribable feud;
877,"So do these wonders a most dizzy pain,"
878,That mingles Grecian grandeur with the rude
879,Wasting of old timewith a billowy main
880,"A suna shadow of a magnitude.,"
881,",,"
882,",O golden tongued Romance, with serene lute!"
883,"Fair plumed Syren, Queen of far-away!"
884,"Leave melodizing on this wintry day,"
885,"Shut up thine olden pages, and be mute:"
886,Adieu! for once again the fierce dispute
887,Betwixt damnation and impassion’d clay
888,Must I burn through; once more humbly assay
889,The bitter-sweet of this Shakespearian fruit.
890,"Chief Poet! and ye clouds of Albion,"
891,Begetters of our deep eternal theme!
892,"When through the old oak Forest I am gone,"
893,"Let me not wander in a barren dream,"
894,"But when I am consumed in the fire,"
895,"Give me new Phoenix wings to fly at my desire.,"
896,",,"
897,",<a href=http://www.lordbyronpoems.com/ target=_blank>Byron</a>! how sweetly sad thy melody!"
898,"Attuning still the soul to tenderness,"
899,"As if soft Pity, with unusual stress,"
900,"Had touch’d her plaintive lute, and thou, being by,"
901,"Hadst caught the tones, nor suffer’d them to die."
902,O’ershadowing sorrow doth not make thee less
903,Delightful: thou thy griefs dost dress
904,"With a bright halo, shining beamily,"
905,"As when a cloud the golden moon doth veil,"
906,"Its sides are ting’d with a resplendent glow,"
907,"Through the dark robe oft amber rays prevail,"
908,And like fair veins in sable marble flow;
909,"Still warble, dying swan! still tell the tale,"
910,"The enchanting tale, the tale of pleasing woe.,"
911,",,"
912,",O Peace! and dost thou with thy presence bless"
913,The dwellings of this war-surrounded Isle;
914,"Soothing with placid brow our late distress,"
915,Making the triple kingdom brightly smile?
916,Joyful I hail thy presence; and I hail
917,The sweet companions that await on thee;
918,"Complete my joy let not my first wish fail,"
919,"Let the sweet mountain nymph thy favourite be,"
920,With England’s happiness proclaim Europa’s Liberty.
921,O Europe! let not sceptred tyrants see
922,That thou must shelter in thy former state;
923,"Keep thy chains burst, and boldly say thou art free;"
924,Give thy kings law leave not uncurbed the great ;
925,"So with the horrors past thou’lt win thy happier fate!,"
926,",,"
927,",O Chatterton! how very sad thy fate!"
928,Dear child of sorrow – son of misery!
929,"How soon the film of death obscur’d that eye,"
930,"Whence Genius mildly flash’d, and high debate."
931,"How soon that voice, majestic and elate,"
932,Melted in dying numbers! Oh! how nigh
933,Was night to thy fair morning. Thou didst die
934,A half-blown flow’ret which cold blasts amate.
935,But this is past: thou art among the stars
936,Of highest Heaven: to the rolling spheres
937,"Thou sweetly singest: naught thy hymning mars,"
938,Above the ingrate world and human fears.
939,On earth the good man base detraction bars
940,"From thy fair name, and waters it with tears.,"
941,",,"
942,",Spenser! a jealous honourer of thine,"
943,"A forester deep in thy midmost trees,"
944,Did last eve ask my promise to refine
945,Some English that might strive thine ear to please.
946,But Elfin Poet ’tis impossible
947,For an inhabitant of wintry earth
948,To rise like Phoebus with a golden quill
949,Fire-wing’d and make a morning in his mirth.
950,It is impossible to escape from toil
951,O’ the sudden and receive thy spiriting:
952,The flower must drink the nature of the soil
953,Before it can put forth its blossoming:
954,"Be with me in the summer days, and I"
955,"Will for thine honour and his pleasure try.,"
956,",,"
957,",If by dull rhymes our English must be chain’d,"
958,"And, like Andromeda, the Sonnet sweet"
959,"Fetter’d, in spite of pained loveliness;"
960,"Let us find out, if we must be constrain’d,"
961,Sandals more interwoven and complete
962,To fit the naked foot of poesy;
963,"Let us inspect the lyre, and weigh the stress"
964,"Of every chord, and see what may be gain’d"
965,"By ear industrious, and attention meet:"
966,"Misers of sound and syllable, no less"
967,"Than Midas of his coinage, let us be"
968,Jealous of dead leaves in the bay wreath crown;
969,"So, if we may not let the Muse be free,"
970,"She will be bound with garlands of her own.,"
971,",,"
972,",This mortal body of a thousand days"
973,"Now fills, O Burns, a space in thine own room,"
974,"Where thou didst dream alone on budded bays,"
975,Happy and thoughtless of thy day of doom!
976,"My pulse is warm with thine old barley-bree,"
977,"My head is light with pledging a great soul,"
978,"My eyes are wandering, and I cannot see,"
979,Fancy is dead and drunken at its goal;
980,"Yet can I stamp my foot upon thy floor,"
981,Yet can I ope thy window-sash to find
982,"The meadow thou hast tramped o’er and o’er,–"
983,"Yet can I think of thee till thought is blind,–"
984,"Yet can I gulp a bumper to thy name,–"
985,"O smile among the shades, for this is fame!,"
986,",,"
987,",The poetry of earth is never dead:"
988,"When all the birds are faint with the hot sun,"
989,"And hide in cooling trees, a voice will run"
990,From hedge to hedge about the new-mown mead;
991,That is the Grasshopper’she takes the lead
992,"In summer luxury,he has never done"
993,With his delights; for when tired out with fun
994,He rests at ease beneath some pleasant weed.
995,The poetry of earth is ceasing never:
996,"On a lone winter evening, when the frost"
997,"Has wrought a silence, from the stove there shrills"
998,"The Cricket’s song, in warmth increasing ever,"
999,"And seems to one in drowsiness half lost,"
1000,"The Grasshopper’s among some grassy hills.,"
1001,"2,<em>December 3, 86.</em>,"
1002,",,"
1003,",Had I a man’s fair form, then might my sighs"
1004,Be echoed swiftly through that ivory shell
1005,"Thine ear, and find thy gentle heart; so well"
1006,Would passion arm me for the enterprise:
1007,But ah! I am no knight whose foeman dies;
1008,No cuirass glistens on my bosom’s swell;
1009,I am no happy shepherd of the dell
1010,Whose lips have trembled with a maiden’s eyes.
1011,"Yet must I doat upon thee,  call thee sweet,"
1012,Sweeter by far than Hybla’s honey’d roses
1013,When steep’d in dew rich to intoxication.
1014,"Ah! I will taste that dew, for me ’tis meet,"
1015,"And when the moon her pallid face discloses,"
1016,"I’ll gather some by spells, and incantation.,"
1017,",,"
1018,",As late I rambled in the happy fields,"
1019,What time the sky-lark shakes the tremulous dew
1020,From his lush clover covert;when anew
1021,Adventurous knights take up their dinted shields:
1022,"I saw the sweetest flower wild nature yields,"
1023,A fresh-blown musk-rose; ’twas the first that threw
1024,Its sweets upon the summer: graceful it grew
1025,As is the wand that queen Titania wields.
1026,"And, as I feasted on its fragrancy,"
1027,I thought the garden-rose it far excell’d:
1028,"But when, O Wells! thy roses came to me"
1029,My sense with their deliciousness was spell’d:
1030,"Soft voices had they, that with tender plea"
1031,"Whisper’d of peace, and truth, and friendliness unquell’d.,"
1032,",,"
1033,",Hearken, thou craggy ocean pyramid!"
1034,"Give answer from thy voice, the sea-fowl’s screams!"
1035,When were thy shoulders mantled in huge streams!
1036,"When, from the sun, was thy broad forehead hid?"
1037,How long is ‘t since the mighty power bid
1038,Thee heave to airy sleep from fathom dreams?
1039,"Sleep in the lap of thunder or sun-beams,"
1040,Or when gray clouds are thy cold cover-lid?
1041,"Thou answer’st not, for thou art dead asleep!"
1042,Thy life is but two dead eternities 
1043,"The last in air, the former in the deep;"
1044,"First with the whales, last with the eagle-skies "
1045,"Drown’d wast thou till an earthquake made thee steep,"
1046,"Another cannot wake thy giant size.,"
1047,",,"
1048,",Good Kosciusko, thy great name alone"
1049,Is a full harvest whence to reap high feeling;
1050,It comes upon us like the glorious pealing
1051,Of the wide spheresan everlasting tone.
1052,"And now it tells me, that in worlds unknown,"
1053,"The names of heroes, burst from clouds concealing,"
1054,"And changed to harmonies, for ever stealing"
1055,"Through cloudless blue, and round each silver throne."
1056,"It tells me too, that on a happy day,"
1057,"When some good spirit walks upon the earth,"
1058,"Thy name with Alfred’s, and the great of yore"
1059,"Gently commingling, gives tremendous birth"
1060,"To a loud hymn, that sounds far, far away"
1061,"To where the great God lives for evermore.,"
1062,",,"
1063,",Haydon! Forgive me, that I cannot speak"
1064,Definitively on these mighty things;
1065,Forgive me that I have not Eagle’s wings
1066,That what I want I know not where to seek:
1067,And think that I would not be over meek
1068,"In rolling out upfollow’d thunderings,"
1069,"Even to the steep of Helciconian springs,"
1070,Were I of ample strength for such a freak
1071,Think too that all those numbers should be thine;
1072,Whose else? In this who touch thy vesture’s hem?
1073,For when men star’d at what was most divine
1074,With browless idiotismo’erwise phlegm
1075,Thou hadst beheld the Hesperean shine
1076,"Of their star in the East, and gone to worship them.,"
1077,",,"
1078,",Cat! who hast passed thy grand climacteric,"
1079,How many mice and rats hast in thy days
1080,Destroyed? How many tit-bits stolen? Gaze
1081,"With those bright languid segments green, and prick"
1082,Those velvet ears – but prithee do not stick
1083,"Thy latent talons in me, and up-raise"
1084,"Thy gentle mew, and tell me all thy frays"
1085,"Of fish and mice, and rats and tender chick."
1086,"Nay, look not down, nor lick thy dainty wrists –"
1087,"For all thy wheezy asthma, and for all"
1088,"Thy tail’s tip is nicked off, and though the fists"
1089,"Of many a maid have given thee many a maul,"
1090,Still is that fur as soft as when the lists
1091,"In youth thou enteredst on glass-bottled wall.,"
1092,",,"
1093,",Nymph of the downward smile, and sidelong glance,"
1094,In what diviner moments of the day
1095,Art thou most lovely? When gone far astray
1096,Into the labyrinths of sweet utterance?
1097,Or when serenely wand’ring in a trance
1098,"Of sober thought? Or when starting away,"
1099,"With careless robe, to meet the morning ray,"
1100,Thou spar’st the flowers in thy mazy dance?
1101,"Haply ’tis when thy ruby lips part sweetly,"
1102,"And so remain, because thou listenest:"
1103,But thou to please wert nurtured so completely
1104,That I can never tell what mood is best.
1105,I shall as soon pronounce which grace more neatly
1106,"Trips it before Apollo than the rest.,"
1107,",,"
1108,",Many the wonders I this day have seen:"
1109,"The sun, when first he kist away the tears"
1110,That fill’d the eyes of morn;the laurel’d peers
1111,Who from the feathery gold of evening lean;
1112,"The ocean with its vastness, its blue green,"
1113,"Its ships, its rocks, its caves, its hopes, its fears,"
1114,"Its voice mysterious, which whoso hears"
1115,"Must think on what will be, and what has been."
1116,"E’en now, dear George, while this for you I write,"
1117,Cynthia is from her silken curtains peeping
1118,"So scantly, that it seems her bridal night,"
1119,And she her half-discover’d revels keeping.
1120,"But what, without the social thought of thee,"
1121,"Would be the wonders of the sky and sea?,"
1122,",,"
1123,",Small, busy flames play through the fresh laid coals,"
1124,And their faint cracklings o’er our silence creep
1125,Like whispers of the household gods that keep
1126,A gentle empire o’er fraternal souls.
1127,"And while, for rhymes, I search around the poles,"
1128,"Your eyes are fix’d, as in poetic sleep,"
1129,"Upon the lore so voluble and deep,"
1130,That aye at fall of night our care condoles.
1131,"This is your birth-day Tom, and I rejoice"
1132,"That thus it passes smoothly, quietly."
1133,Many such eves of gently whisp’ring noise
1134,"May we together pass, and calmly try"
1135,"What are this world’s true joys,ere the great voice,"
1136,"From its fair face, shall bid our spirits fly.,"
1137,",O soft embalmer of the still midnight!"
1138,Shutting with careful fingers and benign
1139,"Our gloom-pleased eyes, embower’d from the light,"
1140,Enshaded in forgetfulness divine;
1141,"O soothest Sleep! if so it please thee, close,"
1142,"In midst of this thine hymn, my willing eyes,"
1143,"Or wait the amen, ere thy poppy throws"
1144,Around my bed its lulling charities;
1145,"Then save me, or the passèd day will shine"
1146,"Upon my pillow, breeding many woes;"
1147,"Save me from curious conscience, that still lords"
1148,"Its strength for darkness, burrowing like a mole;"
1149,"Turn the key deftly in the oilèd wards,"
1150,"And seal the hushèd casket of my soul.,"
1151,",,"
1152,",To one who has been long in city pent,"
1153,’Tis very sweet to look into the fair
1154,"And open face of heaven,to breathe a prayer"
1155,Full in the smile of the blue firmament.
1156,"Who is more happy, when, with hearts content,"
1157,Fatigued he sinks into some pleasant lair
1158,"Of wavy grass, and reads a debonair"
1159,And gentle tale of love and languishment?
1160,"Returning home at evening, with an ear"
1161,"Catching the notes of Philomel,an eye"
1162,"Watching the sailing cloudlet’s bright career,"
1163,He mourns that day so soon has glided by:
1164,E’en like the passage of an angel’s tear
1165,"That falls through the clear ether silently.,"
1166,",,"
1167,",Nature withheld Cassandra in the skies"
1168,For more adornment a full thousand years;
1169,"She took their cream of Beauty’s fairest dyes,"
1170,And shap’d and tinted her above all Peers:
1171,"Meanwhile Love kept her dearly with his wings,"
1172,And underneath their shadow fill’d her eyes
1173,With such a richness that the cloudy Kings
1174,Of high Olympus utter’d slavish sighs.
1175,When from the Heavens I saw her first descend
1176,"My heart took fire, and only burning pains"
1177,They were my pleasures  they my Life’s sad end;
1178,"Love pour’d her beauty into my warm veins…,"
1179,",Son of the old Moon-mountains African!"
1180,Chief of the Pyramid and Crocodile!
1181,"We call thee fruitful, and that very while"
1182,A desert fills our seeing’s inward span:
1183,"Nurse of swart nations since the world began,"
1184,Art thou so fruitful? or dost thou beguile
1185,"Such men to honour thee, who, worn with toil,"
1186,Rest for a space ‘twixt Cairo and Decan?
1187,O may dark fancies err! They surely do;
1188,‘Tis ignorance that makes a barren waste
1189,Of all beyond itself. Thou dost bedew
1190,"Green rushes like our rivers, and dost taste"
1191,"The pleasant sunrise. Green isles hast thou too,"
1192,"And to the sea as happily dost haste.,"
1193,",,"
1194,",The church bells toll a melancholy round,"
1195,"Calling the people to some other prayers,"
1196,"Some other gloominess, more dreadful cares,"
1197,More harkening to the sermon’s horrid sound.
1198,Surely the mind of man is closely bound
1199,In some black spell; seeing that each one tears
1200,"Himself from fireside joys, and Lydian airs,"
1201,And converse high of those with glory crown’d
1202,"Still, still they too, and I should feel a damp, –"
1203,"A chill as from a tomb, did I not know"
1204,That they are dying like an outburnt lamp;
1205,"That ’tis their sighing, wailing ere they go"
1206,"Into oblivion; – that fresh flowers will grow,"
1207,"And many glories of immortal stamp.,"
1208,",,"
1209,",What though, for showing truth to flatter’d state,"
1210,"Kind Hunt was shut in prison, yet has he,"
1211,"In his immortal spirit, been as free"
1212,"As the sky-searching lark, and as elate."
1213,Minion of grandeur! think you he did wait?
1214,"Think you he nought but prison walls did see,"
1215,"Till, so unwilling, thou unturn’dst the key?"
1216,"Ah, no! far happier, nobler was his fate!"
1217,"In Spenser’s halls he strayed, and bowers fair,"
1218,Culling enchanted flowers; and he flew
1219,With daring Milton through the fields of air:
1220,To regions of his own his genius true
1221,Took happy flights. Who shall his fame impair
1222,"When thou art dead, and all thy wretched crew?,"
