Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category,District Office Location
2010,2006,1449,Corwith-Wesley,17,18,94.44,90.01 - 95.00%,"408 SE Elm St
Corwith, Iowa 504300127
(42.9941229370005, -93.95905413299965)"
2011,2007,1449,Corwith-Wesley,19,19,100.00,95.01 - 100.00%,"408 SE Elm St
Corwith, Iowa 504300127
(42.9941229370005, -93.95905413299965)"
2012,2008,1449,Corwith-Wesley,9,11,81.82,80.01 - 85.00%,"408 SE Elm St
Corwith, Iowa 504300127
(42.9941229370005, -93.95905413299965)"
2013,2009,1449,Corwith-Wesley,19,20,95.00,90.01 - 95.00%,"408 SE Elm St
Corwith, Iowa 504300127
(42.9941229370005, -93.95905413299965)"
2014,2010,1449,Corwith-Wesley,10,11,90.91,90.01 - 95.00%,"408 SE Elm St
Corwith, Iowa 504300127
(42.99051126300003, -93.95502626599995)"
2009,2005,1476,Council Bluffs,486,644,75.47,75.01 - 80.00%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.26093667200047, -95.8486106529997)"
2010,2006,1476,Council Bluffs,537,686,78.28,75.01 - 80.00%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.26093667200047, -95.8486106529997)"
2011,2007,1476,Council Bluffs,527,667,79.01,75.01 - 80.00%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.26093667200047, -95.8486106529997)"
2012,2008,1476,Council Bluffs,498,611,81.51,80.01 - 85.00%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.26093667200047, -95.8486106529997)"
2013,2009,1476,Council Bluffs,522,616,84.74,80.01 - 85.00%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.26093667200047, -95.8486106529997)"
2014,2010,1476,Council Bluffs,486,569,85.41,85.01 - 90.00%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.26093667200007, -95.84861065299998)"
2009,2005,1503,Creston,86,96,89.58,85.01 - 90.00%,"801 N. Elm Street
Creston, Iowa 50801
(41.06619330600046, -94.36381029099965)"
2010,2006,1503,Creston,108,121,89.26,85.01 - 90.00%,"801 N. Elm Street
Creston, Iowa 50801
(41.06619330600046, -94.36381029099965)"
2011,2007,1503,Creston,90,96,93.75,90.01 - 95.00%,"801 N. Elm Street
Creston, Iowa 50801
(41.06619330600046, -94.36381029099965)"
2012,2008,1503,Creston,82,93,88.17,85.01 - 90.00%,"801 N. Elm Street
Creston, Iowa 50801
(41.06619330600046, -94.36381029099965)"
2013,2009,1503,Creston,101,110,91.82,90.01 - 95.00%,"801 N. Elm Street
Creston, Iowa 50801
(41.06619330600046, -94.36381029099965)"
2014,2010,1503,Creston,101,111,90.99,90.01 - 95.00%,"801 N. Elm Street
Creston, Iowa 50801
(41.06619330600006, -94.36381029099994)"
2009,2005,1576,Dallas Center-Grimes,120,125,96.00,95.01 - 100.00%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.68434046600049, -93.9614572059997)"
2010,2006,1576,Dallas Center-Grimes,119,127,93.70,90.01 - 95.00%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.68434046600049, -93.9614572059997)"
2011,2007,1576,Dallas Center-Grimes,130,139,93.53,90.01 - 95.00%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.68434046600049, -93.9614572059997)"
2012,2008,1576,Dallas Center-Grimes,116,121,95.87,95.01 - 100.00%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.68434046600049, -93.9614572059997)"
2013,2009,1576,Dallas Center-Grimes,130,138,94.20,90.01 - 95.00%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.68434046600049, -93.9614572059997)"
2014,2010,1576,Dallas Center-Grimes,162,166,97.59,95.01 - 100.00%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.68434046600004, -93.96145720599998)"
2009,2005,1602,Danville,42,45,93.33,90.01 - 95.00%,"419 S Main
Danville, Iowa 52623
(40.86076059700048, -91.3146721339997)"
2010,2006,1602,Danville,44,48,91.67,90.01 - 95.00%,"419 S Main
Danville, Iowa 52623
(40.86076059700048, -91.3146721339997)"
2011,2007,1602,Danville,33,37,89.19,85.01 - 90.00%,"419 S Main
Danville, Iowa 52623
(40.86076059700048, -91.3146721339997)"
2012,2008,1602,Danville,43,46,93.48,90.01 - 95.00%,"419 S Main
Danville, Iowa 52623
(40.86076059700048, -91.3146721339997)"
2013,2009,1602,Danville,37,43,86.05,85.01 - 90.00%,"419 S Main
Danville, Iowa 52623
(40.86076059700048, -91.3146721339997)"
2014,2010,1602,Danville ,37,40,92.50,90.01 - 95.00%,"419 S Main
Danville, Iowa 52623
(40.86076059800007, -91.31467213399998)"
2009,2005,1611,Davenport,852,1123,75.87,75.01 - 80.00%,"1606 Brady St
Davenport, Iowa 52803
(41.53618107700049, -90.57409710699966)"
2010,2006,1611,Davenport,860,1083,79.41,75.01 - 80.00%,"1606 Brady St
Davenport, Iowa 52803
(41.53618107700049, -90.57409710699966)"
2011,2007,1611,Davenport,868,1131,76.75,75.01 - 80.00%,"1606 Brady St
Davenport, Iowa 52803
(41.53618107700049, -90.57409710699966)"
2012,2008,1611,Davenport,826,1046,78.97,75.01 - 80.00%,"1606 Brady St
Davenport, Iowa 52803
(41.53618107700049, -90.57409710699966)"
2013,2009,1611,Davenport,773,978,79.04,75.01 - 80.00%,"1606 Brady St
Davenport, Iowa 52803
(41.53618107700049, -90.57409710699966)"
2014,2010,1611,Davenport,889,1074,82.77,80.01 - 85.00%,"1606 Brady St
Davenport, Iowa 52803
(41.53618107700004, -90.57409710699994)"
2009,2005,1619,Davis County,100,104,96.15,95.01 - 100.00%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296000474, -92.4126231249997)"
2010,2006,1619,Davis County,84,86,97.67,95.01 - 100.00%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296000474, -92.4126231249997)"
2011,2007,1619,Davis County,69,79,87.34,85.01 - 90.00%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296000474, -92.4126231249997)"
2012,2008,1619,Davis County,90,94,95.74,95.01 - 100.00%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296000474, -92.4126231249997)"
2013,2009,1619,Davis County,80,80,100.00,95.01 - 100.00%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296000474, -92.4126231249997)"
2014,2010,1619,Davis County,69,77,89.61,85.01 - 90.00%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296000076, -92.41262312499998)"
2009,2005,1638,Decorah,130,137,94.89,90.01 - 95.00%,"510 Winnebago Street
Decorah, Iowa 52101
(43.30047366800045, -91.78708746999968)"
2010,2006,1638,Decorah,131,133,98.50,95.01 - 100.00%,"510 Winnebago Street
Decorah, Iowa 52101
(43.30047366800045, -91.78708746999968)"
2011,2007,1638,Decorah,137,142,96.48,95.01 - 100.00%,"510 Winnebago Street
Decorah, Iowa 52101
(43.30047366800045, -91.78708746999968)"
2012,2008,1638,Decorah,115,117,98.29,95.01 - 100.00%,"510 Winnebago Street
Decorah, Iowa 52101
(43.30047366800045, -91.78708746999968)"
2013,2009,1638,Decorah,133,133,100.00,95.01 - 100.00%,"510 Winnebago Street
Decorah, Iowa 52101
(43.30047366800045, -91.78708746999968)"
2014,2010,1638,Decorah,127,130,97.69,95.01 - 100.00%,"510 Winnebago Street
Decorah, Iowa 52101
(43.30047366900004, -91.78708746999996)"
2009,2005,1701,Denison,178,227,78.41,75.01 - 80.00%,"819 N 16th St
Denison, Iowa 51442
(42.02635715100047, -95.3486897309997)"
2010,2006,1701,Denison,171,198,86.36,85.01 - 90.00%,"819 N 16th St
Denison, Iowa 51442
(42.02635715100047, -95.3486897309997)"
2011,2007,1701,Denison,141,175,80.57,80.01 - 85.00%,"819 N 16th St
Denison, Iowa 51442
(42.02635715100047, -95.3486897309997)"
2012,2008,1701,Denison,134,159,84.28,80.01 - 85.00%,"819 N 16th St
Denison, Iowa 51442
(42.02635715100047, -95.3486897309997)"
2013,2009,1701,Denison,171,197,86.80,85.01 - 90.00%,"819 N 16th St
Denison, Iowa 51442
(42.02635715100047, -95.3486897309997)"
2014,2010,1701,Denison,157,187,83.96,80.01 - 85.00%,"819 N 16th St
Denison, Iowa 51442
(42.02635715200006, -95.34868973099998)"
2009,2005,1719,Denver,61,63,96.83,95.01 - 100.00%,"520 Lincoln Street
Denver, Iowa 50622
(42.66869444700046, -92.33110404599967)"
2010,2006,1719,Denver,61,62,98.39,95.01 - 100.00%,"520 Lincoln Street
Denver, Iowa 50622
(42.66869444700046, -92.33110404599967)"
2011,2007,1719,Denver,46,47,97.87,95.01 - 100.00%,"520 Lincoln Street
Denver, Iowa 50622
(42.66869444700046, -92.33110404599967)"
2012,2008,1719,Denver,72,73,98.63,95.01 - 100.00%,"520 Lincoln Street
Denver, Iowa 50622
(42.66869444700046, -92.33110404599967)"
2013,2009,1719,Denver,55,55,100.00,95.01 - 100.00%,"520 Lincoln Street
Denver, Iowa 50622
(42.66869444700046, -92.33110404599967)"
2014,2010,1719,Denver,53,54,98.15,95.01 - 100.00%,"520 Lincoln Street
Denver, Iowa 50622
(42.668694447000064, -92.33110404499996)"
2009,2005,1737,Des Moines,1458,2006,72.68,70.01 - 75.00%,"901 Walnut Street
Des Moines, Iowa 50309
(41.58499749600048, -93.62919603999967)"
2010,2006,1737,Des Moines,1572,2003,78.48,75.01 - 80.00%,"901 Walnut Street
Des Moines, Iowa 50309
(41.58499749600048, -93.62919603999967)"
2011,2007,1737,Des Moines,1522,2011,75.68,75.01 - 80.00%,"901 Walnut Street
Des Moines, Iowa 50309
(41.58499749600048, -93.62919603999967)"
2012,2008,1737,Des Moines,1522,1923,79.15,75.01 - 80.00%,"901 Walnut Street
Des Moines, Iowa 50309
(41.58499749600048, -93.62919603999967)"
2013,2009,1737,Des Moines,1526,1923,79.36,75.01 - 80.00%,"901 Walnut Street
Des Moines, Iowa 50309
(41.58499749600048, -93.62919603999967)"
2014,2010,1737,Des Moines,1601,1960,81.68,80.01 - 85.00%,"901 Walnut Street
Des Moines, Iowa 50309
(41.58499749600003, -93.62919603999995)"
2009,2005,1782,Diagonal,,,,Not Reportable,"403 W 2nd Street
Diagonal, Iowa 508450094
(40.807432521000464, -94.34239515799965)"
2010,2006,1782,Diagonal,,,,Not Reportable,"403 W 2nd Street
Diagonal, Iowa 508450094
(40.807432521000464, -94.34239515799965)"
2011,2007,1782,Diagonal,,,,Not Reportable,"403 W 2nd Street
Diagonal, Iowa 508450094
(40.807432521000464, -94.34239515799965)"
2012,2008,1782,Diagonal,,,,Not Reportable,"403 W 2nd Street
Diagonal, Iowa 508450094
(40.807432521000464, -94.34239515799965)"
2013,2009,1782,Diagonal,,,,Not Reportable,"403 W 2nd Street
Diagonal, Iowa 508450094
(40.807432521000464, -94.34239515799965)"
2009,2005,1791,Dike-New Hartford,76,77,98.70,95.01 - 100.00%,"330 Main St
Dike, Iowa 50624
(42.46692010600049, -92.62813077499965)"
2010,2006,1791,Dike-New Hartford,66,68,97.06,95.01 - 100.00%,"330 Main St
Dike, Iowa 50624
(42.46692010600049, -92.62813077499965)"
2011,2007,1791,Dike-New Hartford,50,53,94.34,90.01 - 95.00%,"330 Main St
Dike, Iowa 50624
(42.46692010600049, -92.62813077499965)"
2012,2008,1791,Dike-New Hartford,52,52,100.00,95.01 - 100.00%,"330 Main St
Dike, Iowa 50624
(42.46692010600049, -92.62813077499965)"
2013,2009,1791,Dike-New Hartford,49,50,98.00,95.01 - 100.00%,"330 Main St
Dike, Iowa 50624
(42.46692010600049, -92.62813077499965)"
2014,2010,1791,Dike-New Hartford,62,64,96.88,95.01 - 100.00%,"330 Main St
Dike, Iowa 50624
(42.46692010600003, -92.62813077499999)"
2009,2005,1863,Dubuque,683,803,85.06,85.01 - 90.00%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923000494, -90.70617971399969)"
2010,2006,1863,Dubuque,734,827,88.75,85.01 - 90.00%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923000494, -90.70617971399969)"
2011,2007,1863,Dubuque,674,770,87.53,85.01 - 90.00%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923000494, -90.70617971399969)"
2012,2008,1863,Dubuque,743,840,88.45,85.01 - 90.00%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923000494, -90.70617971399969)"
2013,2009,1863,Dubuque,697,782,89.13,85.01 - 90.00%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923000494, -90.70617971399969)"
2014,2010,1863,Dubuque,710,776,91.49,90.01 - 95.00%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.51120392300004, -90.70617971499996)"
2009,2005,1908,Dunkerton,33,36,91.67,90.01 - 95.00%,"509 Canfield
Dunkerton, Iowa 506260308
(42.57042136300049, -92.16073952999966)"
2010,2006,1908,Dunkerton,28,30,93.33,90.01 - 95.00%,"509 Canfield
Dunkerton, Iowa 506260308
(42.57042136300049, -92.16073952999966)"
2011,2007,1908,Dunkerton,30,34,88.24,85.01 - 90.00%,"509 Canfield
Dunkerton, Iowa 506260308
(42.57042136300049, -92.16073952999966)"
2012,2008,1908,Dunkerton,29,30,96.67,95.01 - 100.00%,"509 Canfield
Dunkerton, Iowa 506260308
(42.57042136300049, -92.16073952999966)"
2013,2009,1908,Dunkerton,38,38,100.00,95.01 - 100.00%,"509 Canfield
Dunkerton, Iowa 506260308
(42.57042136300049, -92.16073952999966)"
2014,2010,1908,Dunkerton,32,33,96.97,95.01 - 100.00%,"509 Canfield
Dunkerton, Iowa 506260308
(42.57042206300008, -92.16073640299999)"
2009,2005,1926,Durant,43,48,89.58,85.01 - 90.00%,"408 7th Street
Durant, Iowa 52747
(41.60340334300048, -90.91363723299969)"
2010,2006,1926,Durant,56,61,91.80,90.01 - 95.00%,"408 7th Street
Durant, Iowa 52747
(41.60340334300048, -90.91363723299969)"
2011,2007,1926,Durant,59,64,92.19,90.01 - 95.00%,"408 7th Street
Durant, Iowa 52747
(41.60340334300048, -90.91363723299969)"
2012,2008,1926,Durant,46,54,85.19,85.01 - 90.00%,"408 7th Street
Durant, Iowa 52747
(41.60340334300048, -90.91363723299969)"
2013,2009,1926,Durant,45,52,86.54,85.01 - 90.00%,"408 7th Street
Durant, Iowa 52747
(41.60340334300048, -90.91363723299969)"
2014,2010,1926,Durant,42,52,80.77,80.01 - 85.00%,"408 7th Street
Durant, Iowa 52747
(41.603403343000025, -90.91363723299997)"
2009,2005,1944,Eagle Grove,71,76,93.42,90.01 - 95.00%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.66709843400048, -93.90455797799967)"
2010,2006,1944,Eagle Grove,73,78,93.59,90.01 - 95.00%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.66709843400048, -93.90455797799967)"
2011,2007,1944,Eagle Grove,57,67,85.07,85.01 - 90.00%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.66709843400048, -93.90455797799967)"
2012,2008,1944,Eagle Grove,46,55,83.64,80.01 - 85.00%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.66709843400048, -93.90455797799967)"
2013,2009,1944,Eagle Grove,36,40,90.00,85.01 - 90.00%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.66709843400048, -93.90455797799967)"
2014,2010,1944,Eagle Grove,52,54,96.30,95.01 - 100.00%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.667098434000025, -93.90455797799996)"
2009,2005,1953,Earlham,38,45,84.44,80.01 - 85.00%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.4957078270005, -94.12303198999967)"
2010,2006,1953,Earlham,44,49,89.80,85.01 - 90.00%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.4957078270005, -94.12303198999967)"
2011,2007,1953,Earlham,51,53,96.23,95.01 - 100.00%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.4957078270005, -94.12303198999967)"
2012,2008,1953,Earlham,45,51,88.24,85.01 - 90.00%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.4957078270005, -94.12303198999967)"
2013,2009,1953,Earlham,31,32,96.88,95.01 - 100.00%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.4957078270005, -94.12303198999967)"
2014,2010,1953,Earlham,46,48,95.83,95.01 - 100.00%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.49570782700005, -94.12303198999996)"
2009,2005,1963,East Buchanan,45,46,97.83,95.01 - 100.00%,"414 5th St North
Winthrop, Iowa 50682
(42.47587975400046, -91.73686267199969)"
2010,2006,1963,East Buchanan,42,43,97.67,95.01 - 100.00%,"414 5th St North
Winthrop, Iowa 50682
(42.47587975400046, -91.73686267199969)"
2011,2007,1963,East Buchanan,42,45,93.33,90.01 - 95.00%,"414 5th St North
Winthrop, Iowa 50682
(42.47587975400046, -91.73686267199969)"
2012,2008,1963,East Buchanan,32,33,96.97,95.01 - 100.00%,"414 5th St North
Winthrop, Iowa 50682
(42.47587975400046, -91.73686267199969)"
2013,2009,1963,East Buchanan,38,41,92.68,90.01 - 95.00%,"414 5th St North
Winthrop, Iowa 50682
(42.47587975400046, -91.73686267199969)"
2014,2010,1963,East Buchanan,41,43,95.35,95.01 - 100.00%,"414 5th St North
Winthrop, Iowa 50682
(42.47587975400006, -91.73686267199997)"
2009,2005,1965,East Central,31,34,91.18,90.01 - 95.00%,"121 S Mitchell
Preston, Iowa 52069
(42.0482816170005, -90.39748802499969)"
2010,2006,1965,East Central,28,29,96.55,95.01 - 100.00%,"121 S Mitchell
Preston, Iowa 52069
(42.0482816170005, -90.39748802499969)"
2011,2007,1965,East Central,36,38,94.74,90.01 - 95.00%,"121 S Mitchell
Preston, Iowa 52069
(42.0482816170005, -90.39748802499969)"
2013,2009,1965,East Central,,,,Not Reportable,"121 S Mitchell
Preston, Iowa 52069
(42.0482816170005, -90.39748802499969)"
2009,2005,1972,Eastern Allamakee,40,41,97.56,95.01 - 100.00%,"569 Center St.
Lansing, Iowa 52151
(43.36085076100045, -91.22091580399967)"
2010,2006,1972,Eastern Allamakee,42,43,97.67,95.01 - 100.00%,"569 Center St.
Lansing, Iowa 52151
(43.36085076100045, -91.22091580399967)"
2011,2007,1972,Eastern Allamakee,35,35,100.00,95.01 - 100.00%,"569 Center St.
Lansing, Iowa 52151
(43.36085076100045, -91.22091580399967)"
2012,2008,1972,Eastern Allamakee,29,30,96.67,95.01 - 100.00%,"569 Center St.
Lansing, Iowa 52151
(43.36085076100045, -91.22091580399967)"
2013,2009,1972,Eastern Allamakee,32,32,100.00,95.01 - 100.00%,"569 Center St.
Lansing, Iowa 52151
(43.36085076100045, -91.22091580399967)"
2014,2010,1972,Eastern Allamakee,41,41,100.00,95.01 - 100.00%,"569 Center St.
Lansing, Iowa 52151
(43.36085076100005, -91.22091580399996)"
2009,2005,1967,East Greene,26,27,96.30,95.01 - 100.00%,"405 12th Street South
Grand Junction, Iowa 501070377
(42.02965241300046, -94.23723109799965)"
2010,2006,1967,East Greene,20,23,86.96,85.01 - 90.00%,"405 12th Street South
Grand Junction, Iowa 501070377
(42.02965241300046, -94.23723109799965)"
2011,2007,1967,East Greene,21,23,91.30,90.01 - 95.00%,"405 12th Street South
Grand Junction, Iowa 501070377
(42.02965241300046, -94.23723109799965)"
2012,2008,1967,East Greene,14,14,100.00,95.01 - 100.00%,"405 12th Street South
Grand Junction, Iowa 501070377
(42.02965241300046, -94.23723109799965)"
2013,2009,1967,East Greene,,,,Not Reportable,"405 12th Street South
Grand Junction, Iowa 501070377
(42.02965241300046, -94.23723109799965)"
2009,2005,1968,East Marshall,71,77,92.21,90.01 - 95.00%,"204 West Center
Gilman, Iowa 50106
(41.88019711700048, -92.79024154399968)"
2010,2006,1968,East Marshall,72,75,96.00,95.01 - 100.00%,"204 West Center
Gilman, Iowa 50106
(41.88019711700048, -92.79024154399968)"
2011,2007,1968,East Marshall,63,66,95.45,95.01 - 100.00%,"204 West Center
Gilman, Iowa 50106
(41.88019711700048, -92.79024154399968)"
2012,2008,1968,East Marshall,53,57,92.98,90.01 - 95.00%,"204 West Center
Gilman, Iowa 50106
(41.88019711700048, -92.79024154399968)"
2013,2009,1968,East Marshall,53,59,89.83,85.01 - 90.00%,"204 West Center
Gilman, Iowa 50106
(41.88019711700048, -92.79024154399968)"
2014,2010,1968,East Marshall,72,78,92.31,90.01 - 95.00%,"204 West Center
Gilman, Iowa 50106
(41.88019711700008, -92.79024154399997)"
2012,2008,3978,East Mills,20,25,80.00,75.01 - 80.00%,"58962 380th Steet
Hastings, Iowa 51540
(41.03244955800045, -95.46075720399966)"
2013,2009,3978,East Mills,35,37,94.59,90.01 - 95.00%,"58962 380th Steet
Hastings, Iowa 51540
(41.03244955800045, -95.46075720399966)"
2014,2010,3978,East Mills,31,33,93.94,90.01 - 95.00%,"58962 380th Steet
Hastings, Iowa 51540
(41.03244955800005, -95.46075720399995)"
2011,2007,6741,East Sac County,69,75,92.00,90.01 - 95.00%,"801 Jackson
Lake View, Iowa 51450
(42.30957709900048, -95.0553882269997)"
2012,2008,6741,East Sac County,75,77,97.40,95.01 - 100.00%,"801 Jackson
Lake View, Iowa 51450
(42.30957709900048, -95.0553882269997)"
2013,2009,6741,East Sac County,60,60,100.00,95.01 - 100.00%,"801 Jackson
Lake View, Iowa 51450
(42.30957709900048, -95.0553882269997)"
2014,2010,6741,East Sac County,90,92,97.83,95.01 - 100.00%,"801 Jackson
Lake View, Iowa 51450
(42.30957709900008, -95.05538822599999)"
2009,2005,1970,East Union,30,33,90.91,90.01 - 95.00%,"1916 High School Dr
Afton, Iowa 50830
(41.01973103000046, -94.1760920649997)"
2010,2006,1970,East Union,37,39,94.87,90.01 - 95.00%,"1916 High School Dr
Afton, Iowa 50830
(41.01973103000046, -94.1760920649997)"
2011,2007,1970,East Union,35,37,94.59,90.01 - 95.00%,"1916 High School Dr
Afton, Iowa 50830
(41.01973103000046, -94.1760920649997)"
2012,2008,1970,East Union,28,29,96.55,95.01 - 100.00%,"1916 High School Dr
Afton, Iowa 50830
(41.01973103000046, -94.1760920649997)"
2013,2009,1970,East Union,30,32,93.75,90.01 - 95.00%,"1916 High School Dr
Afton, Iowa 50830
(41.01973103000046, -94.1760920649997)"
2014,2010,1970,East Union,25,26,96.15,95.01 - 100.00%,"1916 High School Dr
Afton, Iowa 50830
(41.01973103100005, -94.17609206499998)"
2009,2005,0657,Eddyville-Blakesburg,53,59,89.83,85.01 - 90.00%,"222 Walnut
Eddyville, Iowa 52553
(41.156565800000465, -92.63707986199967)"
2010,2006,0657,Eddyville-Blakesburg,64,67,95.52,95.01 - 100.00%,"222 Walnut
Eddyville, Iowa 52553
(41.156565800000465, -92.63707986199967)"
2011,2007,0657,Eddyville-Blakesburg,45,51,88.24,85.01 - 90.00%,"222 Walnut
Eddyville, Iowa 52553
(41.156565800000465, -92.63707986199967)"
2012,2008,0657,Eddyville-Blakesburg,61,65,93.85,90.01 - 95.00%,"222 Walnut
Eddyville, Iowa 52553
(41.156565800000465, -92.63707986199967)"
2013,2009,0657,Eddyville-Blakesburg,70,82,85.37,85.01 - 90.00%,"222 Walnut
Eddyville, Iowa 52553
(41.156565800000465, -92.63707986199967)"
2014,2010,0657,Eddyville-Blakesburg- Fremont,52,56,92.86,90.01 - 95.00%,"222 Walnut
Eddyville, Iowa 52553
(41.15656580000007, -92.63707986199995)"
2009,2005,1989,Edgewood-Colesburg,48,49,97.96,95.01 - 100.00%,"403 W Union
Edgewood, Iowa 52042
(42.64446547300048, -91.40485477099969)"
2010,2006,1989,Edgewood-Colesburg,48,48,100.00,95.01 - 100.00%,"403 W Union
Edgewood, Iowa 52042
(42.64446547300048, -91.40485477099969)"
2011,2007,1989,Edgewood-Colesburg,50,52,96.15,95.01 - 100.00%,"403 W Union
Edgewood, Iowa 52042
(42.64446547300048, -91.40485477099969)"
2012,2008,1989,Edgewood-Colesburg,54,56,96.43,95.01 - 100.00%,"403 W Union
Edgewood, Iowa 52042
(42.64446547300048, -91.40485477099969)"
2013,2009,1989,Edgewood-Colesburg,43,45,95.56,95.01 - 100.00%,"403 W Union
Edgewood, Iowa 52042
(42.64446547300048, -91.40485477099969)"
2014,2010,1989,Edgewood-Colesburg,40,44,90.91,90.01 - 95.00%,"403 W Union
Edgewood, Iowa 52042
(42.644465473000025, -91.40485477099998)"
2009,2005,2007,Eldora-New Providence,70,72,97.22,95.01 - 100.00%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.36068711100046, -93.09620117299966)"
2010,2006,2007,Eldora-New Providence,64,71,90.14,90.01 - 95.00%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.36068711100046, -93.09620117299966)"
2011,2007,2007,Eldora-New Providence,66,72,91.67,90.01 - 95.00%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.36068711100046, -93.09620117299966)"
2012,2008,2007,Eldora-New Providence,62,70,88.57,85.01 - 90.00%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.36068711100046, -93.09620117299966)"
2013,2009,2007,Eldora-New Providence,67,72,93.06,90.01 - 95.00%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.36068711100046, -93.09620117299966)"
2014,2010,2007,Eldora-New Providence,57,62,91.94,90.01 - 95.00%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.36068711100006, -93.09620117299994)"
2009,2005,2016,Elk Horn-Kimballton,29,30,96.67,95.01 - 100.00%,"4114 Madison St
Elk Horn, Iowa 51531
(41.590791169000454, -95.05606776399969)"
2010,2006,2016,Elk Horn-Kimballton,28,28,100.00,95.01 - 100.00%,"4114 Madison St
Elk Horn, Iowa 51531
(41.590791169000454, -95.05606776399969)"
2011,2007,2016,Elk Horn-Kimballton,18,19,94.74,90.01 - 95.00%,"4114 Madison St
Elk Horn, Iowa 51531
(41.590791169000454, -95.05606776399969)"
2012,2008,2016,Elk Horn-Kimballton,35,35,100.00,95.01 - 100.00%,"4114 Madison St
Elk Horn, Iowa 51531
(41.590791169000454, -95.05606776399969)"
2013,2009,2016,Elk Horn-Kimballton,28,29,96.55,95.01 - 100.00%,"4114 Madison St
Elk Horn, Iowa 51531
(41.590791169000454, -95.05606776399969)"
2009,2005,2088,Emmetsburg,60,65,92.31,90.01 - 95.00%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174000486, -94.6914085949997)"
2010,2006,2088,Emmetsburg,64,69,92.75,90.01 - 95.00%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174000486, -94.6914085949997)"
2011,2007,2088,Emmetsburg,56,63,88.89,85.01 - 90.00%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174000486, -94.6914085949997)"
2012,2008,2088,Emmetsburg,44,46,95.65,95.01 - 100.00%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174000486, -94.6914085949997)"
2013,2009,2088,Emmetsburg,51,53,96.23,95.01 - 100.00%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174000486, -94.6914085949997)"
2014,2010,2088,Emmetsburg,60,66,90.91,90.01 - 95.00%,"205 King Street
Emmetsburg, Iowa 50536
(43.11700917400003, -94.69140859499998)"
2009,2005,2097,English Valleys,37,42,88.10,85.01 - 90.00%,"211 S College Street
North English, Iowa 52316
(41.513765134000494, -92.0804805789997)"
2010,2006,2097,English Valleys,33,42,78.57,75.01 - 80.00%,"211 S College Street
North English, Iowa 52316
(41.513765134000494, -92.0804805789997)"
2011,2007,2097,English Valleys,45,48,93.75,90.01 - 95.00%,"211 S College Street
North English, Iowa 52316
(41.513765134000494, -92.0804805789997)"
2012,2008,2097,English Valleys,32,34,94.12,90.01 - 95.00%,"211 S College Street
North English, Iowa 52316
(41.513765134000494, -92.0804805789997)"
