reviews,search_term,title,location,summary
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
,Data Engineer,"Software Automation Engineer, Cloud Services (IoT PaaS)","Santa Clara, CA",Working with technologies for real-time data processing systems. We are looking for some exceptional engineers to join the Ayla Cloud Service team....
,Data Engineer,Senior Software Engineer,"San Francisco, CA","Data driven decisions. Experience working with PostgreSQL, ElasticSearch, or equivalent data stores. We are looking for a Senior Engineer with at least 10 years..."
4 reviews,Data Engineer,"Product Manager, Data Science & Real Time Bidding",,"
Collaborate with a cross functional team of engineers, data scientists, and go-to-market specialists to bring your product ideas and innovative new technology..."
17 reviews,Data Engineer,Senior Operations Engineer,,"
We are looking for an operations engineer to join us in revolutionizing the way the world analyzes data. Data analysis is plagued by a fundamentally flawed..."
10 reviews,Data Engineer,Staff Data Engineer,,"
ETL, Reporting, Data Model), infrastructure (e.g. You will interact with business owners and data scientist on the team to formulate key questions, and build..."
,Data Engineer,Python Software Engineer Video Fingerprinting and Content ID,,"
Understanding of how to handle huge amounts of data. We are seeking engineers to join the core team in charge of building our large-scale content-identification..."
,Data Engineer,Data Engineer,,"
The Role Data Engineer. Design normalized and/or dimensional data model including physical and logical Data modeling using Erwin.?..."
11 reviews,Data Engineer,"Lead Data Scientist, Machine Learning",,"
Define the data tracking and ML pipeline for training. We do that through data science – by matching people with the best jobs for them...."
,Data Engineer,Quality Engineer- Data Lake Testing,,"
Data Lake Testing – QE Description:. Collaborate with peer engineers, developers, and architects to solve complex problems...."
130 reviews,Data Engineer,Senior Software Engineer - Data Science - Machine Learning,,"
Solid foundation in machine learning, data structures, algorithms, and software design. GoDaddy is hiring smart and motivated Software Engineers with a focus on..."
,Data Engineer,Hadoop Data Engineer,,"
Build scalable data systems using MySQL/NoSQL technologies. Rollup data in different dimensions for reports and analysis...."
16 reviews,Data Engineer,Software Engineer,,"
Software Engineers - San Francisco. The opportunity to work with a world-class team of Software Engineers. Work with a team of engineers building software in a..."
,Data Engineer,Software Developer/Engineer - San Francisco,"San Francisco, CA",The Software Engineer will develop web and mobile applications in a .NET environment. Celerity Consulting Group is an information management consulting firm...
6 reviews,Data Engineer,Software Engineer - Analytics,"San Mateo, CA",To be working in a team of smart/talented engineers who are building a big data platform that will be scalable in to the petabytes of data....
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
,Data Engineer,Software Engineer,"San Francisco Bay Area, CA","(You understand smart pointers, templates, and a wide variety of data structures. We are scouting for a Software Engineer for our Cameras/3D Modeling Team...."
3 reviews,Data Engineer,Generalist Software Engineer,"San Francisco, CA",We are now searching for a Generalist Software Engineer to help our team shape ideas into an elegant and functional solution....
39 reviews,Data Engineer,Sr Software Engineer - Machine / Deep Learning,"San Francisco, CA","Data analysis, natural language processing, computer vision, distributed computing, big data analytics, and machine learning...."
,Data Engineer,Big Data Engineer,,"
Big Data Engineer. We're looking for an experienced software engineer that can marry the conceptual understanding of huge scale data problems with the practical..."
,Data Engineer,Coding Teacher (Part Time) - Software Engineer,,"
Share data with lead teachers/advisors. You will deliver lectures, assist students with problem sets, and collect/evaluate data on student progress...."
101 reviews,Data Engineer,Data Engineer - Fraud,,"
Build data expertise and own data quality for the pipelinesBuild and launch new data models that provide intuitive analytics to your customersDesign, build and..."
101 reviews,Data Engineer,Software Engineer - Trip Quality,,"
Are you a Backend Engineer? Are you an iOS or Android engineer? Four separate positions (iOS, Android, Front-End or Backend engineer) for three cross-functional..."
21 reviews,Data Engineer,Senior Data Engineer,,"
Senior Data Engineer - New Platform (San Mateo). Mentor junior data scientists, contribute to data architecture decisions, conduct insightful code reviews...."
3 reviews,Data Engineer,Backend Software Engineer - Catalog,,"
Lead design and implementation of new data enrichment techniques. ShopStyle, the leading product search engine, is looking for an ambitious JavaBackend Engineer..."
,Data Engineer,Software Engineer,,"
As a software engineer, you’ll work throughout the stack, from large-scale data processing to web UI. We’re looking for talented software engineers to join our..."
"1,149 reviews",Data Engineer,Senior Front-End Developer-Data Visualization - 171698,,"
Senior (Front-End) Data Visualization Engineer. Mentor other team members to develop cutting edge data visualizations...."
35 reviews,Data Engineer,Senior Data Engineer,,"
Senior Data Engineer. Work closely with the game studios to gather new data and leverage existing data to improve our games...."
12 reviews,Data Engineer,Data Engineer - Hadoop/Spark,,"
One of the largest AdTech companies in San Francisco is looking for a Data Engineer (Hadoop/Spark) to add to their San Francisco team...."
"17,599 reviews",Data Engineer,Director Engineering - Consumer IoT + Open House,"San Francisco, CA","Proven leader of owning creation of a vision and executing it with team Good understanding of distributed systems, data stores, data modeling, indexing and..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
127 reviews,Data Engineer,Engineering Manager - San Francisco,"San Francisco, CA","Full stack engineer, Manager:. You understand how to use data to make decisions. Solid knowledge of data structures and algorithms and excellent programming..."
,Data Engineer,Lead Software Developer,"Redwood City, CA",Experience with different data stores (e.g. Optimize complex data models for understandability and performance....
429 reviews,Data Engineer,Staff Software Engineer (Data Governance),"Mountain View, CA","We're looking for a solid Software Engineer who possesses excellent technical skills to work with the team in the areas of Data Mining, Data Quality, Data..."
,Data Engineer,Solutions Architect (San Francisco),,"
Databricks provides a just-in-time data platform, to simplify data integration, real-time experimentation, and robust deployment of production applications...."
,Data Engineer,Android Engineers (Senior/Principal),,"
Lookout combines a real-time view of the world’s mobile data with powerful machine intelligence to continuously identify, analyze, predict and eliminate every..."
,Data Engineer,Lead Data Engineer,,"
Experience hiring and leading a team of data engineers to build out a data warehouse system. Passion for converting innovative data science innovations and..."
,Data Engineer,Data Engineer,,"
Pioneer data analytics. You should be both a skilled engineer and a rational data analyst. Are you an engineer who woke up one morning and found you’d somehow..."
3 reviews,Data Engineer,Data Manager,,"
Standardize data naming, data definitions and modeling. Demonstrated experience with data models and data mapping...."
,Data Engineer,Senior Backend Engineer,,"
As a Senior Backend Engineer at AltSchool, you would develop software that moves and processes data in order to enable personalized education...."
264 reviews,Data Engineer,Chief Software Engineer Job,,"
Strong understanding of data analytics and data visualization. Chief Software Engineer. Technical background in data with deep understanding of issues in..."
"8,217 reviews",Data Engineer,Software Development Engineer (Amazon Music),,"
Experience working with small teams of engineers. Computer Science fundamentals in object-oriented design, data structures and algorithm design, and complexity..."
,Data Engineer,Software Engineer,,"
Our engineers play a key role in product. We're looking for awesome software engineers who want to build the future of restaurant technology...."
,Data Engineer,"Software Engineer, Engagement",,"
Experience using data analytics to verify successfulness of features. We are always on the lookout for talented software engineers to join our team...."
,Data Engineer,Sr. Software Engineer,"San Francisco Bay Area, CA","Strong knowledge and experience of C++ (You understand smart pointers, templates and a variety of data structures...."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
15 reviews,Data Engineer,"Sr. Java Application Developer (Relocation to Roseville, CA)","San Francisco Bay Area, CA","We are a technology data driven company, and a significant portion of our company is made up of extremely bright, entrepreneurial-minded engineers, developers,..."
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
20 reviews,Data Engineer,Python Engineer- Big Data,,"
A cutting edge big data company has an open job for a Python Engineer in downtown San Francisco. Strong with algorithims and data structures...."
"2,266 reviews",Data Engineer,"Software Engineer, iTunes Big Data Social (Node.js)",,"
The iTunes big data engineering team is looking for talented server-side engineers to build and enhance social features such as those underpinning Apple Music...."
"1,478 reviews",Data Engineer,Senior Associate Big Data Software Engineer,,"
Work in cross-disciplinary teams with KPMG industry experts to understand client needs and ingest rich data sources such as social media, news, internal..."
4 reviews,Data Engineer,Senior Backend Engineer,,"
Development of high performance data crawling systems. The backend engineering team at SocialCode is responsible for collecting information from a wide variety..."
4 reviews,Data Engineer,Bioinformatics Software Engineer,,"
Identify and curate data from publically available databases, including genomic, transcriptomic, proteomic and clinical data...."
678 reviews,Data Engineer,Big Data Engineer,,"
Big Data Engineer. The cross-functional Platform team consists of Software engineers, QA engineers, and Product Managers...."
,Data Engineer,Software Engineer - Infrastructure,,"
Collaborate with product, QA, frontend engineers, and database engineers to ship quality code. The problems we solve are challenging and fun, like dynamically..."
3 reviews,Data Engineer,Lead Engineer - Data Warehouse,,"
Data Warehouse Lead. Strong familiarity with data warehouse best practices. Establishing best practices related to data access for stakeholders and analysts...."
47 reviews,Data Engineer,CONTRACTOR: Business Process Engineer,,"
Create list of data points necessary to track the project, including standard and unique/custom types. A business process engineer is a professional who has the..."
,Data Engineer,photo/video/Annotation Engineer (Please read Job description...,,"
Data Annotation Engineer. As our Sample Data Annotation Engineer, you will collect and prepare media and sample data for training machine learning algorithms...."
,Data Engineer,Video Software Engineer,"Mountain View, CA",You need to have a deep understanding of fundamental data structures and algorithms. The successful candidate will have the following skills:....
"13,172 reviews",Data Engineer,Build and Source Control Engineer (Android) Big Data (Sunnyvale CA),"Sunnyvale, CA",Our Big Data mobile engineering team is growing! R knowledge and general big data experience is a plus. This is a unique opportunity for someone with experience...
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
429 reviews,Data Engineer,"Senior Software Engineer, Big Data","Mountain View, CA","The Intuit Data Engineering Analytics team, or IDEA, provides and uses data to help our customers and Intuit make and save money...."
"8,217 reviews",Data Engineer,"Software Development Engineer – Big Data, New Service","Palo Alto, CA","AWS provides massively scaled distributed data services that give users fast and predictable Big Data performance with clusters running Hadoop, Hive, Pig,..."
4 reviews,Data Engineer,"Staff Engineer, Backend",,"
Data analytics engineers are responsible for building out industrial strength research models. As a staff engineer on the analytics team you’ll be responsible..."
101 reviews,Data Engineer,Software Engineer - Data Services (Marketplace Dynamics),,"
You will work with a team of talented engineers to build a highly scalable, fault tolerant, and responsive services around streaming events to meet Uber’s most..."
,Data Engineer,Senior Solutions Engineer,,"
As an Optimizely Sales Engineer you will serve as a trusted advisor throughout the Optimizely sales process, with an emphasis on tying business objectives to..."
,Data Engineer,Director of Data Integrations,,"
Work with data providers and engineers to fix data issues. Work with engineers on data acquisition, normalization and storage systems to improve scalability and..."
,Data Engineer,"Data Engineer - Kafka, Spark, ,Scala, Java",,"
we have have immediate opportunity with one of our client if you are available and comfortable reply back with latest resume,availability and expected salary"
,Data Engineer,Data Engineer/Data Scientist,,"
Data Engineer/Data Scientist. We're looking for a passionate, entrepreneurial, and hungry-to-succeed data engineer and scientist to join our team...."
,Data Engineer,Big Data Engineer,,"
Understanding of data flows, data architecture and processing of structured and unstructured data. Due to continued growth, my client is seeking a Big Data..."
"1,090 reviews",Data Engineer,"Software Engineer, Tilt Brush",,"
We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
,Data Engineer,Software Engineer,,"
Working with cross-functional teams, analysts, mathematicians, and engineers on projects including text mining, structuring data, and extracting entities...."
11 reviews,Data Engineer,Data Scientist,,"
Obsessive data bent. Architect and build product instrumentation, data transport and data persistence solutions...."
,Data Engineer,"Technical Product Marketing Manager, Big Data Platform","San Francisco, CA","Data driven applications on a big data platform; With more than 25 trillion rows of data in our private cloud, 1010data is designed to scale to the largest..."
883 reviews,Data Engineer,Big Data Developer,"Redwood City, CA",Are you a Senior Software Engineer with distributed systems and Big Data experience who wants to dream up new data possibilities and come up with creative...
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
2 reviews,Data Engineer,Help Desk Engineer,"Berkeley, CA","Maintain records of daily data communication transactions, issues and remedial actions taken or installation activities...."
2 reviews,Data Engineer,Big Data Software Engineer - Hedge Funds,"San Francisco Bay Area, CA","Big Data Software Engineer - Hedge Funds - trading, portfolio management and analytics platform. We are seeking talented senior level software engineers to join..."
3 reviews,Data Engineer,Senior Software Engineer,"San Francisco, CA","Experience with big data and machine learning pipelines. Proven ability to work independently, lead a software project, and mentor junior software engineers...."
,Data Engineer,DevOps Engineer,,"
Design, build and operate a subset of our data technologies stack:. Develop software solutions to enable operability of large scale distributed systems handling..."
101 reviews,Data Engineer,Tech Services - Data Engineer,,"
You will be the first data engineer in this team, surfacing data to numerous organizations with limited analytics support, so there is a tremendous amount of..."
"2,661 reviews",Data Engineer,Senior Data Engineer - Analytical Solutions,,"
Senior Data Engineer - Analytical Solutions. We are looking for driven individuals to join our team of passionate data engineers and create Capital Ones next..."
,Data Engineer,"Software Engineer, Full Stack",,"
Payment tokenization or enterprise data integration. Works with front and back-end engineers to collaborate on all parts of the stack...."
196 reviews,Data Engineer,Software Engineer,,"
Hadoop, Search, Machine Learning, Data visualization, Front-end development, Mobile applications are nice to have...."
,Data Engineer,Senior Data Engineer,,"
We are looking for Senior Data Engineers to join our team. At the same time, we are broadening our tool set to work with hierarchical data and enhance data..."
11 reviews,Data Engineer,Data Science & Analytics Lead,,"
Collaborate with data warehouse engineers on data delivery and ensure timely access to correct information...."
,Data Engineer,Software Engineer,,"
The Software Engineer is a full stack engineer responsible for all aspects of developing, implementing, and evangelizing our technology initiatives within the..."
,Data Engineer,Cybersecurity Backend Engineer - Python/Docker,,"
Qadium seeks Backend Engineers to build scalable collection and processing infrastructure for analysis of device data across the entire Internet...."
101 reviews,Data Engineer,Software Engineer - Data Engineering - Real-Time Data Infras...,,"
You will work with other data teams leveraging Hadoop, Spark and other data technologies to process and store that data, and make it available for analysts and..."
2 reviews,Data Engineer,"Senior Software Engineer, Web","Redwood City, CA","Most importantly, we’re seriously awesome engineers:. We’re all about making decisions based on data rather than speculation...."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
6 reviews,Data Engineer,Database Engineer,"San Mateo, CA","Data Warehousing exposure. Experience optimizing data models and database schemas, and SQL for distributed applications...."
6 reviews,Data Engineer,Software Engineer - Analytics,"San Mateo, CA",To be working in a team of smart/talented engineers who are building a big data platform that will be scalable in to the petabytes of data....
117 reviews,Data Engineer,Engineering Technician,"Fremont, CA",Works closely with development engineers to create design prototypes and models. Conducts engineering tests and detailed experimental testing to collect design...
,Data Engineer,Business Intelligence/Data Science Intern,,"
This position will support and work closely with RingCentral engineers, our Senior Manager of Big Data, and our Data Scientists to assist the Business..."
9 reviews,Data Engineer,Software Engineer,,"
As a Software Engineer (backend) at Fanatics, you will specialize in building core platform framework required for managing company infrastructure, applications..."
6 reviews,Data Engineer,Fullstack Analytics Engineer,,"
$593B is spent each year connecting applications, data and devices, and the challenge is growing dramatically with the explosion of cloud, big data, mobile and..."
123 reviews,Data Engineer,Sr. Data Technology Engineer,,"
10+ years experience in data management, data strategy, data integration, and business intelligence. Knowledge of OLTP, data warehouses, data model design and..."
,Data Engineer,Data Engineer (San Francisco),,"
As a Data Engineer at Taulia you’ll be responsible for building a peta byte scale data warehouse and tools around it from the ground up...."
,Data Engineer,Data Engineer,,"
4info is looking for a Data Engineer. Our Data Engineer will maintain and improve machine learning platforms to help us make sense of billions of records and..."
,Data Engineer,Principal Engineer of Distributed Computing,,"
The problems we solve are challenging and fun, like dynamically increasing our data capacity by an order of magnitude and enabling users to intuitively command..."
10 reviews,Data Engineer,Staff Database Engineer - Oracle,,"
Were synonymous with data management, no one could fathom the incredible amounts of data we now see today, a trend which has coined the term ‘Big Data’...."
,Data Engineer,Senior Data Engineer,,"
Work closely with analysts, data scientists, and product engineers to understand data needs and design/maintain scalable data models...."
17 reviews,Data Engineer,Senior Back-End Engineer,,"
Analysts and Data Scientists use Mode to analyze data, build visualizations, and share work with colleagues. We are looking for a back-end web engineer to join..."
6 reviews,Data Engineer,Software Engineer - Apps,"San Mateo, CA","Experience building algorithms, data structures, and optimizing performance. With over 3,700 worldwide customers, Marketo is a leader in cloud software and one..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
2 reviews,Data Engineer,Data Engineer,"Menlo Park, CA","Need Data Engineer with expertise in SQL, Python, ETL, Hive SQL, Python, ETL, Hive...."
,Data Engineer,Software Engineer,"Livermore, CA",Software Engineer Responsibilities*. Software Engineer Other Skills*. Support software development of radar systems to include design and implementation of data...
41 reviews,Data Engineer,"Software Engineer, Data and Algorithms","Emeryville, CA","Software Engineer, Data and Algorithms. We are looking for a Software Engineer, Data and Algorithms to help our growing team build data pipelines at scale...."
,Data Engineer,Backend Engineer,,"
Application, data, infrastructure, analytics and deployment. Experience with online data stores (preferably MySQL)...."
,Data Engineer,Software Engineer-Back-End,,"
Experience with Data Visualization. Leanplum is looking for back-end software engineers to join our team in San Francisco...."
,Data Engineer,Analytics Engineer,,"
Analytics Engineer – Games. Desire to assess data sets and perform data visualization as required part of this role...."
12 reviews,Data Engineer,Data Analytics,,"
They need this Senior DevOps Engineer to help them expand their core offering. Our client, a crowd sourced database company located in San Francisco is looking..."
,Data Engineer,Sr. Software Engineer,,"
Senior Software Engineer. Is a San Francisco-based medical device startup company combining novel diagnostic device and data analysis concepts together to..."
13 reviews,Data Engineer,Product Analyst,,"
Work with engineers to evangelize data best practices and implement analytics solutions. Fluency with data, analytics and visualization technologies (SQL,..."
5 reviews,Data Engineer,Software Engineer - iOS,,"
You love the challenges of building data intensive, highly responsive, and fault tolerant apps in the constrained environment of a smartphone...."
,Data Engineer,Backend Software Engineer,,"
See how data science can help you beat the bracket at our Data Science in the Real World Lunch & Learn. Highly competent engineers that are true technologists..."
,Data Engineer,Developer Evangelist (US),,"
Previous experience as a software engineer, engineering lead or support engineer. Raygun is a hosted service for automatically collecting data about software..."
,Data Engineer,HouseCanary Appraiser | Senior Software Engineer,,"
We track thousands of data elements every month, from national factors down to house-level data. Work with application and big data services to implement..."
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
429 reviews,Data Engineer,Principal Software Engineer (Adobe AEM / CQ),"Menlo Park, CA","We love engineers who lead the charge, communicating with customers and delivering the most impactful features to our users...."
,Data Engineer,"DevOps Engineer (IoT, PaaS)","Santa Clara, CA","Managing users, devices and data, in our production and development environments. Growing your skill-set, working along side our Senior DevOps Engineers as they..."
20 reviews,Data Engineer,Data Quality Engineer,,"
Data Quality Engineer. The Data Integrity Engineer is responsible for analyzing, assessing, and documenting diverse data from its source through many complex..."
,Data Engineer,Senior Analytics - Data Engineer (FTE Consultant),,"
Data transformation engineer. We are looking for those individuals who are entrepreneurial data engineers with strong hands-on data integration implementation..."
,Data Engineer,Software Engineer,,"
Databricks provides a just-in-time data platform, to simplify data integration, real-time experimentation, and robust deployment of production applications...."
,Data Engineer,"Big Data Engineer in Redwood Shores,CA",,"
Seeking a Big Data Engineer / Architect in Redwood Shores, CA. Develop Data Adapters to ingest large volume of Unstructured, Semi-Structured and Structured data..."
57 reviews,Data Engineer,Postdoctoral Fellow - Data Science and Technology Department,,"
Integrated Data Frameworks. Data Analytics and Visualization. (2) Optimization of data movement and management, which utilizes next generation networking and..."
189 reviews,Data Engineer,Software Engineer in Test (University Grad),,"
Strong data structure and algorithm foundation; EA’s Commerce and Identity team has a need for software engineer in Test in Redwood City, California...."
,Data Engineer,BI/ETL Developer (Only for Local Candidates) NOT FOR C2C,,"
The Enterprise Data Warehouse Engineer will analyze and evaluate existing and/or proposed systems and devices to process data warehouse data...."
9 reviews,Data Engineer,"MTS 2, Data Scientist",,"
Experience in partnering with architects, engineers in data environments that are complex, enterprise wide, multi-tenant, and host large scale of data...."
,Data Engineer,SAN FRANCISCO Senior R&D Engineer – Computer Vision & Data C...,,"
Help maintain and support a wide variety of computer vision and data capture tools. This position is a senior member of the team that designs and develops state..."
2 reviews,Data Engineer,Agronomic Data Engineer,,"
The Climate Corporation is looking for an agronomic data engineer to join the Soil & Crop Processes team within our Data Science group...."
3 reviews,Data Engineer,Backend Engineer - Unity Ads,"San Francisco, CA",Ensure service scalability through effective code and data storage design. Understanding of how different data storage engines work and what are the limitations...
,Data Engineer,Lab System Engineer,"Mountain View, CA",Lab System Engineer. Gridstore™ is the leader in Hyper Converged All-Flash Infrastructure for the Microsoft Cloud-Inspired Data Center....
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
,Data Engineer,Software Engineer (Web Back End),"Sunnyvale, CA","Experience with data structures, algorithms, or big data. Matterport is shaking up the 3D world...."
"6,383 reviews",Data Engineer,Software Designer,"Palo Alto, CA","Hewlett Packard’s Marketing Optimization Group is looking for talented engineer to work on our next generation platform for web analytics, data analysis and..."
3 reviews,Data Engineer,Software Engineer,,"
Solid foundation in computer science fundamentals with sound knowledge of data structures, algorithms, and design...."
3 reviews,Data Engineer,Software Engineer - Cloud Infrastructure,,"
We need engineers with a passion for building, managing and operationalizing large scale-distributed systems. Deep understanding of concurrency, load balancing,..."
,Data Engineer,Software Engineer Data,,"
Software Engineer Data. We aresearching for a Data Software Engineer to join our growing Analytics team in South San Francisco...."
,Data Engineer,Software Engineer - Ads Billing & Payments (Back End),,"
Software Engineer - Ads Billing Team. Strong algorithms and data structures background. Full-stack development experience with a solid foundation in web..."
,Data Engineer,Software Engineer,,"
Chartio is changing how companies work by building the best visualization interface to data. We're looking for software engineers familiar with both back and..."
,Data Engineer,Database Engineer,,"
Build performance, scalable, highly-available data services and frameworks to store and access big data. Design and deploy data access frameworks...."
10 reviews,Data Engineer,Data Scientist,,"
Collaborate with engineers to implement and deploy scalable solutions. Our agile team of engineers, scientists, and product managers work together to envision,..."
17 reviews,Data Engineer,Senior Data Software Engineer,,"
Working alongside top-notch data engineers and scientists to improve our graph. Radius is looking for a Senior Data Software Engineer who is interested in using..."
,Data Engineer,Customer Success Engineer,,"
Experience dealing with big data systems such as hadoop/mapreduce, time series data (e.g., opentsdb) and NoSQL databases...."
42 reviews,Data Engineer,Software Engineer,,"
If you love data, you’ll work on our powerful set of tools to capture, process, and analyze millions of communications data points...."
"8,217 reviews",Data Engineer,"Software Development Engineer – Big Data, AWS Elastic MapReduce (EMR)- Relocation Opportunity",United States,"We are developing innovative new features including the next-generation cluster management system, realtime processing for big data and intuitive ways of..."
2 reviews,Data Engineer,Senior Consultant/Engineer - Situational Awareness - Splunk,United States,Ability to analyze data and draw logical conclusions. Refer potential add-on sales opportunities to either account managers or solutions engineers....
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
,Data Engineer,Big Data Engineer,"San Francisco, CA","Understanding of data flows, data architecture and processing of structured and unstructured data. Analytics Staffing Solution is currently looking for an..."
10 reviews,Data Engineer,Software Engineer-Back End,,"
Implement cutting edge models and algorithms that operate on massive amounts of data. Develop high performance and scalable solutions that extract, transform,..."
,Data Engineer,Solutions Engineer/Product Specialsit,,"
Core understanding of big data ecosystems. A global community of data-driven marketers relies on QuanticMind’s data science-powered platform to anticipate and..."
,Data Engineer,Software Engineer - Scala,,"
We love data and anything that helps drive intelligent decisions and always design with the user in mind. Chartboost is looking for a strong backend engineer to..."
10 reviews,Data Engineer,"Manager, Data Services",,"
Lead a team of Data Engineers and Business System Analysts to develop data solutions on our analytic platforms...."
,Data Engineer,DevOps Engineer,,"
Work with our engineers to handle exponentially growing sensor data volume. We are looking for passionate engineers to help manage and deploy our software..."
,Data Engineer,BI Consultant with Big Data,,"
BI Consultant with Big Data*. Two or more years of experience in Business Intelligence or data mining. Develop data transformations and extractions in Hadoop..."
2 reviews,Data Engineer,Sr. Messaging Software Engineer,,"
We are seeking engineers who have solved complex problems at scale and have the aptitude to navigate uncharted waters...."
"2,661 reviews",Data Engineer,"Senior Manager, Data Engineering - Analytical Solutions",,"
We are looking for driven individuals who will lead a team of data engineers to create Capital Ones next generation of data products and capabilities...."
,Data Engineer,BI/ETL Engineer,,"
Transformation of data from one server to other servers using tools like bulk copy program (BCP), data transformation services, data conversions from legacy..."
,Data Engineer,"Senior Software Engineer, Backend",,"
As a Senior Software Engineer, Backend, you will help bring this vision to life by building systems that collect, process, and distribute enormous quantities of..."
,Data Engineer,System Software Engineer,"Hayward, CA","JBMICRO INC seeks System Software Engineer in Hayward, CA to build, scale, & secure data infrastructure on different operating environments...."
2 reviews,Data Engineer,Business Consultant/ Implementation Engineer,United States,"Identify, delegate and execute project tasks including installing and configuring software, deployment training, data migration and deployment support...."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
"8,217 reviews",Data Engineer,"Software Development Engineer – Big Data, New Service- Relocation Opportunity",United States,"AWS provides massively scaled distributed data services that give users fast and predictable Big Data performance with clusters running Hadoop, Hive, Pig,..."
126 reviews,Data Engineer,BlackRock Software Engineer,,"
BlackRock Software Engineer. Database experience (SQL, DDL/DML, data modelling). The position is for a Software Engineer in the Quant Tools - Equity development..."
23 reviews,Data Engineer,Staff Engineer - TellApart (Data Products),,"
Staff Engineer (less senior role:. Experience leading a team of engineers. Within Data Products, we have multiple teams building omni-channel solutions working..."
,Data Engineer,"Senior Software Engineer, Ad Serving",,"
You will be working with all engineering teams at Vungle, and you will learn a lot about our SDK, Dashboard, Data engineering and Data Science...."
2 reviews,Data Engineer,Software Engineer - Full Stack,,"
We are looking for talented full-stack software engineers and data engineers. You'll be teaming up with interesting and talented engineers...."
10 reviews,Data Engineer,Senior Data Analytics Engineer,,"
Senior Data Analytics Engineer. The Engineer is responsible for conceptualizing, modeling, designing and documenting data tables for Big Data Analytics...."
,Data Engineer,Engineering Manager - Admin Portal / Data Analytics,,"
Engineering Manager - Admin Portal / Data Analytics - San Francisco, CA - FTE. Perform Personnel and Technical management of Full stack Engineers and the..."
,Data Engineer,Data Engineer ( SQL / ETL / Big data ),,"
Data Engineer ( SQL / ETL / Big data ). This data engineer will work on this project along with other members. Experiece with Big Data:...."
,Data Engineer,Full-Stack Engineer,,"
As engineer #6, you get to wear many hats. Brainstorm and implement creative ways to visualize hundreds of millions of complex data points...."
"13,124 reviews",Data Engineer,Sr. Big Data Developer (macys.com),,"
Strong understanding of Data Modeling, Data Warehousing, Database, and Big Data technologies. Experience in data mining or statistical analysis and analytics..."
,Data Engineer,Data Engineer,,"
Youll work on rich challenges ranging from clinical data analytics, dynamic ETL management and multiendpoint data capture...."
"8,217 reviews",Data Engineer,Data Center Engineer- Cloudfront,"Hayward, CA","The Data Center Engineer will be responsible for overseeing site qualification and selection. North America Data Center Edge Operations is seeking a passionate,..."
254 reviews,Data Engineer,BI Developer/Data Visualization Engineer,"Pleasanton, CA","Develop rich interactive graphics, data visualizations of ""large"" amount of structured data, preferably in-browser...."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
2 reviews,Data Engineer,Big Data Software Engineer - Hedge Funds,"San Francisco Bay Area, CA","Big Data Software Engineer - Hedge Funds - trading, portfolio management and analytics platform. We are seeking talented senior level software engineers to join..."
